created_at;display_name;hero_archetypes;icon;id;image_style;is_active;merchant_facing;palette_hints;prompt_addendum;section_priority;sort_order;subcategory;updated_at;vertical;vocabulary
2026-05-19 09:06:07.378889+00;Bakery;;;19c4e874-429c-432f-a5e1-b6767479d0f5;rustic bakery, flour-dusted;true;true;cream, butter yellow, brown;Breads, cakes, cookies.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""testimonials"",""newsletter""]";72;bakery;2026-05-19 09:06:07.378889+00;food;Freshly baked, artisan, soft
2026-05-19 09:06:07.378889+00;Chocolates;;;09a5a2f0-eeb5-46bc-b207-f4928945574e;glossy chocolate macros;true;true;deep brown, copper;Artisan, bean-to-bar, gifting.;"[""announcement_bar"",""hero"",""featured_products"",""collection_showcase"",""image_with_text"",""newsletter""]";73;chocolates;2026-05-19 09:06:07.378889+00;food;Cacao, bean-to-bar, indulgent
2026-05-19 09:06:07.378889+00;Beverages;;;a63e0731-d7da-4935-9f37-f56ef3d13a1d;splash photography, ice;true;true;bright fruit hues;Juices, sodas, mocktails.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""newsletter""]";74;beverages;2026-05-19 09:06:07.378889+00;food;Refreshing, all-natural, no-sugar
2026-05-19 09:06:07.378889+00;Tea & Coffee;;;499d97dd-c1eb-439d-acbf-99ef337e4f25;brewing rituals, leaf macros;true;true;tea green, espresso brown;Specialty teas, single-origin coffee.;"[""announcement_bar"",""hero"",""image_with_text"",""featured_products"",""testimonials"",""newsletter""]";75;tea-coffee;2026-05-19 09:06:07.378889+00;food;Single-origin, brew, leaf-to-cup
2026-05-19 09:06:07.378889+00;Dairy & Cheese;;;ffb2da3b-e78a-4f12-90e8-7f4ea40bd889;farm imagery, cheese boards;true;true;cream white, butter yellow;Milk, ghee, paneer, cheese.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";76;dairy;2026-05-19 09:06:07.378889+00;food;Farm-fresh, A2, traditional
2026-05-19 09:06:07.378889+00;Organic & Healthy;;;ad7f3f12-c7f1-467b-b748-9541ce1448a3;farm scenes, fresh produce;true;true;sage, terracotta, cream;Certified organic produce.;"[""announcement_bar"",""hero"",""image_with_text"",""featured_products"",""trust_badges"",""testimonials"",""newsletter""]";77;organic;2026-05-19 09:06:07.378889+00;food;Certified organic, farm-to-table
2026-05-19 09:06:07.378889+00;Spices & Masalas;;;4a60b324-e56f-4621-aeeb-942d621f6c63;spice heaps, brass vessels;true;true;rich saffron, paprika, deep brown;Indian spices and ground masalas.;"[""announcement_bar"",""hero"",""collection_showcase"",""featured_products"",""image_with_text"",""testimonials"",""newsletter""]";78;spices;2026-05-19 09:06:07.378889+00;food;Stone-ground, garam masala, regional
2026-05-19 09:06:07.378889+00;Dry Fruits & Nuts;;;080bb0b8-91ef-4e27-b227-dcbf269bdefa;clean luxe macros, gifting boxes;true;true;warm gold, deep brown;Premium kaju, badam, gifting.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""collection_showcase"",""newsletter""]";79;dry-fruits;2026-05-19 09:06:07.378889+00;food;Premium grade, gifting, healthy
2026-05-19 09:06:07.378889+00;Pickles & Condiments;;;48a203f0-ae13-45fc-91f4-2169981e2458;glass jars on rustic wood;true;true;mustard yellow, deep red;Achaar, chutneys, sauces.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""testimonials"",""newsletter""]";80;pickles;2026-05-19 09:06:07.378889+00;food;Homestyle, traditional, jar-fresh
2026-05-19 09:06:07.378889+00;Ready-to-Eat & Cook;;;41ff3fa5-aa9e-43cc-b3c1-8bd7b6a8fdff;plated dish, packet shot;true;true;warm orange, cream;Quick meals, frozen, mixes.;"[""announcement_bar"",""hero"",""featured_products"",""trust_badges"",""testimonials"",""newsletter""]";81;ready-to-eat;2026-05-19 09:06:07.378889+00;food;Quick, authentic, 5-min
2026-05-19 09:06:07.378889+00;Healthy & Diet Food;;;79e20ff2-b59e-4e3a-ad30-8b8db95109a6;vibrant healthy bowls;true;true;sage, oat cream;Millets, keto, vegan.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""testimonials"",""newsletter""]";82;healthy-food;2026-05-19 09:06:07.378889+00;food;High-protein, whole grain, clean
2026-05-19 09:06:07.378889+00;Furniture;;;49ec5f27-6f91-4da1-ad47-4c80747111a9;room scenes, craftsmanship close-ups;true;true;warm walnut, deep teal;Solid wood, modern Indian.;"[""announcement_bar"",""hero"",""collection_showcase"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";90;furniture;2026-05-19 09:06:07.378889+00;home;Solid wood, handcrafted, lifetime
2026-05-19 09:06:07.378889+00;Home Decor;;;21146992-fe5c-4fe4-b531-ba1728ee1cc8;styled vignettes, magazine-ready;true;true;warm earth, deep green;Vases, frames, accents.;"[""announcement_bar"",""hero"",""collection_showcase"",""featured_products"",""image_with_text"",""newsletter""]";91;decor;2026-05-19 09:06:07.378889+00;home;Curated, statement, finishing
2026-05-19 09:06:07.378889+00;Kitchenware;;;411aad2e-f9d5-41b9-bc1c-f1805ef263e3;cookware on flame, kitchen scenes;true;true;copper, deep red;Cookware, brass, copper.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""collection_showcase"",""newsletter""]";92;kitchenware;2026-05-19 09:06:07.378889+00;home;Heirloom, conducts, traditional
2026-05-19 09:06:07.378889+00;Dining & Tableware;;;817949e3-036a-4368-951e-cfcf2fc95432;tablescape photography;true;true;ivory, gold accents;Plates, glassware, serveware.;"[""announcement_bar"",""hero"",""collection_showcase"",""featured_products"",""image_with_text"",""newsletter""]";93;dining;2026-05-19 09:06:07.378889+00;home;Hosting, set, occasion
2026-05-19 09:06:07.378889+00;Bedding & Bath;;;bc2bf8cf-22af-427b-8255-affd628c3cb8;bedroom scenes, soft natural light;true;true;soft white, sage, blush;Linens, towels, robes.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";94;bedding-bath;2026-05-19 09:06:07.378889+00;home;Cosy, percale, GSM, breathable
2026-05-19 09:06:07.378889+00;Lighting;;;7d920531-eaf7-487e-9094-9be3fbd6cf65;dim moody interiors;true;true;warm amber, brass;Lamps, chandeliers, fairy lights.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""collection_showcase"",""newsletter""]";95;lighting;2026-05-19 09:06:07.378889+00;home;Warm glow, ambient, statement
2026-05-19 09:06:07.378889+00;Storage & Organization;;;d8d79ec0-b3ee-464b-80a2-959cd3a9b150;organised spaces, before/after;true;true;natural wood, white;Boxes, racks, organisers.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";96;storage;2026-05-19 09:06:07.378889+00;home;Declutter, modular, efficient
2026-05-19 09:06:07.378889+00;Garden & Outdoor;;;a4181eb0-9fc5-4384-a9f1-e314c0463dc5;plant photography, balcony scenes;true;true;leaf green, terracotta;Plants, planters, garden tools.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""collection_showcase"",""newsletter""]";97;garden;2026-05-19 09:06:07.378889+00;home;Greenery, urban garden, easy-care
2026-05-19 09:06:07.378889+00;Art & Wall Decor;;;9847f0f6-1e65-4dbf-afc9-bf24bcf83c67;gallery wall installations;true;true;gallery white, deep accent;Paintings, prints, sculptures.;"[""announcement_bar"",""hero"",""collection_showcase"",""featured_products"",""image_with_text"",""newsletter""]";98;art-wall;2026-05-19 09:06:07.378889+00;home;Curated, original, gallery
2026-05-19 09:06:07.378889+00;Religious & Puja;;;c58f26c6-1842-4d02-aa3b-cbde26cfc6e7;soft golden light, brass temple;true;true;saffron, gold;Idols, puja items, incense.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""collection_showcase"",""newsletter""]";99;religious;2026-05-19 09:06:07.378889+00;home;Sacred, blessed, traditional
2026-05-19 09:06:07.378889+00;Cleaning Supplies;;;bf66db12-502b-4f86-96e5-a4e22c6b1040;sparkling clean spaces;true;true;fresh aqua, white;Eco-friendly cleaners.;"[""announcement_bar"",""hero"",""featured_products"",""trust_badges"",""testimonials"",""newsletter""]";100;cleaning;2026-05-19 09:06:07.378889+00;home;Effective, eco-friendly, fragrance
2026-05-19 09:06:07.378889+00;Mobile Accessories;;;406a4574-547d-459a-b178-73dcb8130bc8;clean tech product shots;true;true;tech black, neon;Cases, chargers, cables.;"[""announcement_bar"",""hero"",""featured_products"",""collection_showcase"",""trust_badges"",""newsletter""]";110;mobile-accessories;2026-05-19 09:06:07.378889+00;electronics;Fast charge, durable, fit
2026-05-19 09:06:07.378889+00;Audio & Headphones;;;c0035109-bac8-48ed-91bd-a43874256609;lifestyle with audio devices;true;true;deep black, electric blue;Earphones, speakers, soundbars.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";111;audio;2026-05-19 09:06:07.378889+00;electronics;Immersive, bass, wireless
2026-05-19 09:06:07.378889+00;Computers & Laptops;;;144d44aa-7ad7-41a8-b1dd-7013c7c0352b;desk setups, tech moodboard;true;true;space grey, electric blue;Laptops, peripherals.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";112;computers;2026-05-19 09:06:07.378889+00;electronics;Performance, productivity, RAM
2026-05-19 09:06:07.378889+00;Smart Home;;;1b3cf546-1f79-497a-b38d-8e8c76f395d0;smart home scenes, app screenshots;true;true;soft white, ambient blue;IoT devices, smart bulbs, cameras.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";113;smart-home;2026-05-19 09:06:07.378889+00;electronics;Connected, voice-control, energy-saving
2026-05-19 09:06:07.378889+00;Cameras & Photography;;;c1e91ad3-6fee-4783-9022-eac20d7e6e69;camera-on-tripod, sample shots;true;true;matte black, accent;DSLRs, lenses, accessories.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""collection_showcase"",""newsletter""]";114;cameras;2026-05-19 09:06:07.378889+00;electronics;Sharp, frame, lens, aperture
2026-05-19 09:06:07.378889+00;Gaming;;;d2cdaa91-e8c6-401c-bdf7-fc7ca3ffbb6d;dark RGB-lit setups;true;true;black, neon purple, electric blue;Consoles, peripherals, chairs.;"[""announcement_bar"",""hero"",""featured_products"",""brand_marquee"",""trust_badges"",""newsletter""]";115;gaming;2026-05-19 09:06:07.378889+00;electronics;Immersive, FPS, RGB, performance
2026-05-19 09:06:07.378889+00;Wearables;;;b5b42f8f-6a5e-4d62-85e3-d93f9d05d3f8;wrist shots, gym lifestyle;true;true;deep black, vivid accent;Smartwatches, fitness bands.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""newsletter""]";116;wearables;2026-05-19 09:06:07.378889+00;electronics;Fitness, sleep, notifications
2026-05-19 09:06:07.378889+00;Small Appliances;;;82a9f7e1-3323-4f7f-a8cf-058f365f023b;kitchen counter scenes;true;true;clean white, copper accent;Mixers, kettles, air fryers.;"[""announcement_bar"",""hero"",""featured_products"",""image_with_text"",""trust_badges"",""testimonials"",""newsletter""]";117;appliances-small;2026-05-19 09:06:07.378889+00;electronics;Convenient, energy-efficient, multi-use
2026-05-19 09:06:07.378889+00;Large Appliances;;;fe89f586-f78c-43b3-98a9-e6489f291431;room scenes with appliance;true;true;deep blue, silver;Refrigerators, washing machines, ACs.;"[""announcement_bar"",""hero"",""featured_products"",""trust_badges"",""testimonials"",""newsletter""]";118;appliances-large;2026-05-19 09:06:07.378889+00;electronics;Star-rated, capacity, durable
2026-05-19 09:06:07.378889+00;Refurbished Tech;;;f1036a6f-68b4-4b9e-a351-30d4b9aaf7f8;clean tech, certification badges;true;true;steel grey, eco green;Certified pre-owned electronics.;"[""announcement_bar"",""hero"",""featured_products"",""trust_badges"",""testimonials"",""newsletter""]";119;refurbished;2026-05-19 09:06:07.378889+00;electronics;Certified, warranty, eco-conscious
