id;role;user_id
5c11c78b-174a-4bfb-ad08-24a04caed267;seller;1c217725-f39d-44f3-9449-318ded360280
b770d62a-1f93-4969-8a76-43218ad9d205;seller;44ca7184-1674-4d7c-b6d3-a95337ae777b
f6210443-21cf-4459-96ae-f6c8c2e719c6;seller;c6824120-f836-47db-b1be-dddaadaec652
7ca24246-bb13-48fa-b07d-e8050ee145af;seller;d3098e33-66ac-4abb-905a-0d789c3fe0a7
f4f00399-8208-46d4-b0fa-4c69d46da75d;seller;cf21a109-ed09-4fd0-9084-adf318874d4e
e43cb534-4478-4c1d-ab7a-34c747f55ef7;customer;99b43da3-5fbf-4b1e-90ed-eedb2e85fbc1
25495c38-49d4-4a6a-ab0e-004f8edacb95;seller;fcd2970a-a968-4547-8694-9112771c8d0f
b917de61-6039-4d4c-8a06-c103846364ea;seller;2e1771a2-2f41-484f-a557-9a580d410543
bb2ae93f-6da2-416d-84ef-6ab7a1bdc434;seller;7446712a-cbd0-4e65-989c-1f07730237cf
67600302-9c65-4885-b2c8-27659011c343;seller;e029d0df-b2b8-43e6-bdaa-225541f40ac4
6613bfe2-a79d-4eba-aa9b-5fb6f6d99ebc;seller;96fd068d-8676-4227-a947-c07b1cf0e05a
df440a28-48ac-4b0b-8cc2-0f8471f5078f;seller;a8cf0a63-1f72-4b24-acc1-9f565e9731f5
304af027-909d-4b8e-b97d-4223d6e16457;seller;cc448bc0-da70-4cfa-ad4b-24f09ee9135d
c5b4a358-e14c-4464-a2dc-418695f5e98d;seller;77d3aa7b-5fea-4270-a141-c56b0fad9cf3
e49b176b-c5ed-4ca8-8bc8-03a6b97349b2;customer;867f88e2-2183-48c9-b745-2c29a39dbd32
6fff2822-5092-4385-966a-649af57b7597;customer;59c66583-a0b9-4fad-aee6-0088557cb79f
672cac6d-eff8-4beb-802a-e5d34ed1f6c9;seller;90eb0d3b-9b1a-46ae-abec-311e900dbd27
475b02f2-b9fd-42f6-b14f-de66585eeb4d;seller;4f21bb8f-6f40-407b-9bca-61c1dd40b6eb
192e72f0-4974-4617-ab51-c6580b87cebe;seller;2b9820ac-5286-4c12-975e-591a8dab93a0
42ee28f9-2945-4c42-ab59-78bf7eaca171;seller;64cbf6b4-ef7a-4da2-a131-296b1f8ffa2b
a8eb1c15-2bc3-4fee-b57d-9691aa6ad3ed;partner;64cbf6b4-ef7a-4da2-a131-296b1f8ffa2b
f3541140-9662-4f4f-b8c6-24fdd4696623;seller;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
da2af350-694a-485e-aba9-9665f71b41ba;seller;185cab7b-3bf0-41fc-abf3-6241dc8e2195
d2bc83f8-670f-4772-adc9-5a3fcef9e411;seller;eeec3c63-734c-4031-8193-b77fb6a86e1d
