actor;changed_by;created_at;from_status;id;note;order_id;to_status
Merchant;0cbacd96-ce64-4d14-a9a2-6586f562eaa7;2026-07-15 07:53:52.981582+00;pending;2132df38-08b2-4d49-9a58-94c7a54ba388;;20e2a231-f4b3-4265-8b51-4a66ac9de10a;confirmed
Merchant;0cbacd96-ce64-4d14-a9a2-6586f562eaa7;2026-07-15 07:54:15.68776+00;confirmed;86a9ee26-c38a-4fd0-8d34-8d5c91355922;;20e2a231-f4b3-4265-8b51-4a66ac9de10a;processing
Merchant;0cbacd96-ce64-4d14-a9a2-6586f562eaa7;2026-07-15 07:54:52.545897+00;processing;bd8a6105-1c16-47f1-8886-adc97e50261d;;20e2a231-f4b3-4265-8b51-4a66ac9de10a;delivered
Merchant;0cbacd96-ce64-4d14-a9a2-6586f562eaa7;2026-07-15 08:22:43.4142+00;delivered;5cec78c2-8038-4624-9154-36d06fc25f7e;;8875af95-ca01-4b5f-b841-bfd5a7064d32;returned
Customer;47a70fd7-42ae-4a0c-b0dd-506ff8c3d491;2026-07-15 09:20:41.187667+00;;933ede31-94c8-4efd-804e-49d44952355c;Order placed;0446b36f-fb24-448c-bc18-1c470b891cd4;pending
Merchant;0cbacd96-ce64-4d14-a9a2-6586f562eaa7;2026-07-15 09:20:58.357195+00;pending;2f83e587-ecbc-4a1b-82ed-797ef7b466d0;;0446b36f-fb24-448c-bc18-1c470b891cd4;confirmed
Merchant;0cbacd96-ce64-4d14-a9a2-6586f562eaa7;2026-07-15 09:21:01.557408+00;confirmed;93e52e9b-27df-4020-9bac-15ec74d022ed;;0446b36f-fb24-448c-bc18-1c470b891cd4;processing
Merchant;0cbacd96-ce64-4d14-a9a2-6586f562eaa7;2026-07-15 09:21:11.454978+00;processing;2300f8e5-f953-4718-9d50-39029de52593;;0446b36f-fb24-448c-bc18-1c470b891cd4;shipped
Merchant;0cbacd96-ce64-4d14-a9a2-6586f562eaa7;2026-07-15 09:21:14.018321+00;shipped;1b8a0223-f92b-46ed-85b3-2d69105fc6b2;;0446b36f-fb24-448c-bc18-1c470b891cd4;delivered
Merchant;0cbacd96-ce64-4d14-a9a2-6586f562eaa7;2026-07-15 09:25:32.346352+00;delivered;adbd48b2-d759-4e35-b226-723a30c3d1de;;0446b36f-fb24-448c-bc18-1c470b891cd4;returned
Customer;47a70fd7-42ae-4a0c-b0dd-506ff8c3d491;2026-07-15 09:27:06.504598+00;;7d18bf15-d5f8-4914-bbe3-5cdc24d6f376;Order placed;0afd896d-d37b-4526-a991-f495047d760d;pending
Merchant;0cbacd96-ce64-4d14-a9a2-6586f562eaa7;2026-07-15 09:27:19.428986+00;pending;05a4aeb2-ae10-4541-9e14-c7a4ba50e21e;;0afd896d-d37b-4526-a991-f495047d760d;delivered
