completed_at;skipped;tour_key;user_id
2026-05-27 10:49:16.551691+00;true;product-form;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-05-27 10:51:05.248479+00;true;products-list;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-05-27 16:19:37.834092+00;false;accounts;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-05-27 16:20:05.425053+00;true;orders;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-05-27 16:21:00.578019+00;false;analytics;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-05-27 16:21:27.113791+00;false;blog;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-05-28 07:36:33.153098+00;true;product-form;c824674a-59b4-4605-956b-277393b6f62c
2026-05-29 09:53:52.961189+00;true;dashboard;a8cf0a63-1f72-4b24-acc1-9f565e9731f5
2026-05-31 15:18:23.080118+00;false;categories;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-06-01 09:41:44.155648+00;false;sourcing;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-06-02 03:37:46.716028+00;true;dashboard;cc448bc0-da70-4cfa-ad4b-24f09ee9135d
2026-06-02 03:40:40.477402+00;false;wallet;cc448bc0-da70-4cfa-ad4b-24f09ee9135d
2026-06-02 03:41:32.635439+00;false;payments;cc448bc0-da70-4cfa-ad4b-24f09ee9135d
2026-06-02 03:41:50.800213+00;false;orders;cc448bc0-da70-4cfa-ad4b-24f09ee9135d
2026-06-02 03:45:35.495868+00;true;products-list;cc448bc0-da70-4cfa-ad4b-24f09ee9135d
2026-06-02 09:53:02.288346+00;true;dashboard;77d3aa7b-5fea-4270-a141-c56b0fad9cf3
2026-06-02 09:55:31.517238+00;false;product-form;77d3aa7b-5fea-4270-a141-c56b0fad9cf3
2026-06-02 10:00:22.321007+00;true;products-list;77d3aa7b-5fea-4270-a141-c56b0fad9cf3
2026-06-02 10:05:19.406944+00;true;orders;77d3aa7b-5fea-4270-a141-c56b0fad9cf3
2026-06-02 10:05:26.706127+00;false;order-detail;77d3aa7b-5fea-4270-a141-c56b0fad9cf3
2026-06-02 10:09:12.216311+00;false;accounts;77d3aa7b-5fea-4270-a141-c56b0fad9cf3
2026-06-02 10:09:53.256112+00;false;blog;77d3aa7b-5fea-4270-a141-c56b0fad9cf3
2026-06-02 10:13:48.58043+00;false;categories;77d3aa7b-5fea-4270-a141-c56b0fad9cf3
2026-06-02 10:17:41.44392+00;false;wallet;77d3aa7b-5fea-4270-a141-c56b0fad9cf3
2026-06-02 10:18:13.186589+00;false;sourcing;77d3aa7b-5fea-4270-a141-c56b0fad9cf3
2026-06-02 16:26:43.722325+00;false;dashboard;867f88e2-2183-48c9-b745-2c29a39dbd32
2026-06-02 16:26:47.013922+00;false;orders;867f88e2-2183-48c9-b745-2c29a39dbd32
2026-06-08 09:21:09.673748+00;true;dashboard;90eb0d3b-9b1a-46ae-abec-311e900dbd27
2026-06-08 09:22:20.93354+00;true;product-form;90eb0d3b-9b1a-46ae-abec-311e900dbd27
2026-06-08 09:22:36.223297+00;false;sourcing;90eb0d3b-9b1a-46ae-abec-311e900dbd27
2026-06-08 09:22:50.920172+00;true;products-list;90eb0d3b-9b1a-46ae-abec-311e900dbd27
2026-06-12 08:22:13.02835+00;true;dashboard;4f21bb8f-6f40-407b-9bca-61c1dd40b6eb
2026-06-12 08:25:32.13122+00;true;product-form;4f21bb8f-6f40-407b-9bca-61c1dd40b6eb
2026-06-12 08:26:40.717161+00;true;products-list;4f21bb8f-6f40-407b-9bca-61c1dd40b6eb
2026-06-12 08:26:50.685076+00;false;payments;4f21bb8f-6f40-407b-9bca-61c1dd40b6eb
2026-06-12 08:56:06.038693+00;false;orders;4f21bb8f-6f40-407b-9bca-61c1dd40b6eb
2026-06-13 13:13:12.513226+00;false;dashboard;2b9820ac-5286-4c12-975e-591a8dab93a0
2026-06-13 13:23:49.346775+00;true;product-form;2b9820ac-5286-4c12-975e-591a8dab93a0
2026-06-13 13:28:32.613318+00;false;products-list;2b9820ac-5286-4c12-975e-591a8dab93a0
2026-06-13 13:28:42.437604+00;false;categories;2b9820ac-5286-4c12-975e-591a8dab93a0
2026-06-13 13:33:50.11019+00;false;sourcing;2b9820ac-5286-4c12-975e-591a8dab93a0
2026-06-18 16:33:22.45748+00;true;dashboard;64cbf6b4-ef7a-4da2-a131-296b1f8ffa2b
2026-06-21 07:15:48.685017+00;true;dashboard;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-06-21 07:19:25.704724+00;false;sourcing;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-06-21 07:19:30.716705+00;true;products-list;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-06-21 07:19:36.549474+00;true;product-form;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-06-22 05:08:48.847862+00;false;categories;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-06-22 05:26:24.283963+00;false;orders;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-06-22 05:33:04.829149+00;false;customers;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-06-22 05:33:15.249165+00;false;coupons;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-06-22 05:37:25.823922+00;false;accounts;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-06-22 06:08:56.345315+00;false;payments;2b9820ac-5286-4c12-975e-591a8dab93a0
2026-06-22 08:32:35.498189+00;false;analytics;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-06-27 14:01:21.428147+00;true;dashboard;eeec3c63-734c-4031-8193-b77fb6a86e1d
2026-06-27 14:04:31.379368+00;true;wallet;eeec3c63-734c-4031-8193-b77fb6a86e1d
2026-06-27 14:08:25.213017+00;false;domain;eeec3c63-734c-4031-8193-b77fb6a86e1d
2026-06-27 14:11:32.553166+00;false;accounts;eeec3c63-734c-4031-8193-b77fb6a86e1d
2026-06-27 14:12:45.269902+00;true;cod;eeec3c63-734c-4031-8193-b77fb6a86e1d
2026-06-29 06:25:16.10467+00;true;order-detail;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-06-29 06:34:47.981527+00;true;order-detail;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-06-29 07:01:58.503763+00;false;customers;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-06-29 07:02:18.720502+00;false;coupons;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-06-29 09:17:14.940004+00;false;wallet;2b9820ac-5286-4c12-975e-591a8dab93a0
2026-07-03 09:13:50.316275+00;true;dashboard;643279c5-710d-4b93-a02d-e85af193c1fd
2026-07-07 07:16:24.163855+00;true;dashboard;0cbacd96-ce64-4d14-a9a2-6586f562eaa7
2026-07-07 07:17:11.491983+00;false;sourcing;0cbacd96-ce64-4d14-a9a2-6586f562eaa7
2026-07-07 07:17:29.611169+00;false;domain;0cbacd96-ce64-4d14-a9a2-6586f562eaa7
2026-07-07 07:37:50.844518+00;false;order-detail;c824674a-59b4-4605-956b-277393b6f62c
2026-07-07 11:36:33.4907+00;true;dashboard;b5c87c6a-f704-4fb6-8cc7-cc9b5bd43c44
2026-07-07 11:36:38.717236+00;false;sourcing;b5c87c6a-f704-4fb6-8cc7-cc9b5bd43c44
2026-07-07 12:42:36.473917+00;true;product-form;b5c87c6a-f704-4fb6-8cc7-cc9b5bd43c44
2026-07-07 12:43:14.248683+00;true;products-list;b5c87c6a-f704-4fb6-8cc7-cc9b5bd43c44
2026-07-07 12:52:01.597493+00;true;dashboard;502e1574-4111-470c-bc60-726abfd6fefd
2026-07-07 12:52:07.200624+00;false;sourcing;502e1574-4111-470c-bc60-726abfd6fefd
2026-07-07 12:52:10.703035+00;true;products-list;502e1574-4111-470c-bc60-726abfd6fefd
2026-07-07 12:52:12.771238+00;true;product-form;502e1574-4111-470c-bc60-726abfd6fefd
2026-07-07 14:40:34.221452+00;true;dashboard;c5745d39-964b-4bc7-9bb0-1362c6962280
2026-07-07 14:40:50.502146+00;true;products-list;c5745d39-964b-4bc7-9bb0-1362c6962280
2026-07-07 14:40:54.098179+00;true;product-form;c5745d39-964b-4bc7-9bb0-1362c6962280
2026-07-09 05:33:36.505293+00;true;dashboard;87e8f551-168f-49a4-a77f-06d92532d398
2026-07-09 05:33:43.955172+00;true;products-list;87e8f551-168f-49a4-a77f-06d92532d398
2026-07-09 05:33:49.822532+00;true;product-form;87e8f551-168f-49a4-a77f-06d92532d398
2026-07-09 21:30:20.824908+00;true;dashboard;28045561-0e7f-4f4e-a218-77350484ca28
2026-07-09 21:30:38.020819+00;false;orders;28045561-0e7f-4f4e-a218-77350484ca28
2026-07-10 07:16:32.114488+00;false;orders;502e1574-4111-470c-bc60-726abfd6fefd
2026-07-10 17:59:21.617805+00;true;dashboard;7a8bdd72-d1fb-4e83-9184-ffba5911b7d2
2026-07-13 07:14:21.123218+00;true;products-list;0cbacd96-ce64-4d14-a9a2-6586f562eaa7
2026-07-13 07:14:26.913737+00;true;product-form;0cbacd96-ce64-4d14-a9a2-6586f562eaa7
2026-07-14 06:12:17.780797+00;false;shipping;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
2026-07-15 05:05:47.70899+00;true;product-form;47a70fd7-42ae-4a0c-b0dd-506ff8c3d491
2026-07-15 05:05:54.455208+00;true;products-list;47a70fd7-42ae-4a0c-b0dd-506ff8c3d491
2026-07-15 05:05:55.58768+00;false;categories;47a70fd7-42ae-4a0c-b0dd-506ff8c3d491
2026-07-15 05:05:59.911067+00;false;orders;47a70fd7-42ae-4a0c-b0dd-506ff8c3d491
2026-07-15 05:12:03.650963+00;true;orders;0cbacd96-ce64-4d14-a9a2-6586f562eaa7
2026-07-15 05:12:08.651198+00;true;order-detail;0cbacd96-ce64-4d14-a9a2-6586f562eaa7
2026-07-15 08:03:26.615949+00;false;shipping;0cbacd96-ce64-4d14-a9a2-6586f562eaa7
2026-07-15 10:14:09.919825+00;true;dashboard;93a3a203-a0f0-42e6-90c9-611b8de9c0fe
2026-07-15 10:18:36.384559+00;true;wallet;93a3a203-a0f0-42e6-90c9-611b8de9c0fe
2026-07-15 10:22:17.386008+00;true;product-form;93a3a203-a0f0-42e6-90c9-611b8de9c0fe
2026-07-15 10:22:33.340723+00;true;products-list;93a3a203-a0f0-42e6-90c9-611b8de9c0fe
2026-07-15 22:53:33.865067+00;true;dashboard;c1f1781d-d36c-4f22-b965-75651050128c
2026-07-15 23:01:47.019426+00;true;products-list;c1f1781d-d36c-4f22-b965-75651050128c
2026-07-15 23:01:50.015357+00;true;product-form;c1f1781d-d36c-4f22-b965-75651050128c
2026-07-16 07:52:17.341033+00;true;dashboard;fa205b4b-c365-4dc1-a3fe-814bccce94ee
2026-07-16 08:12:43.853606+00;true;dashboard;a810eaf4-5c7f-4df4-92b9-83390ef08221
2026-07-16 08:17:55.114303+00;true;product-form;a810eaf4-5c7f-4df4-92b9-83390ef08221
2026-07-16 08:21:10.086859+00;true;products-list;a810eaf4-5c7f-4df4-92b9-83390ef08221
2026-07-16 08:21:42.286825+00;false;orders;a810eaf4-5c7f-4df4-92b9-83390ef08221
2026-07-16 08:24:24.619315+00;true;wallet;a810eaf4-5c7f-4df4-92b9-83390ef08221
2026-07-16 08:27:28.41038+00;false;categories;a810eaf4-5c7f-4df4-92b9-83390ef08221
2026-07-16 08:28:25.44991+00;false;coupons;a810eaf4-5c7f-4df4-92b9-83390ef08221
2026-07-16 09:00:53.619956+00;true;seo;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-07-16 09:09:33.519351+00;false;domain;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
