action_key;cache_hit;created_at;credits;granted_by_admin;id;inr_value;manual_cost_inr;manual_minutes;metadata;promo_code;razorpay_order_id;razorpay_payment_id;reason;store_id;type
generate-product;false;2026-06-02 09:58:03.104727+00;8;;d19cb488-db6e-4f8b-ae39-eaf087f1d23f;0.720;150;15;{};;;;;17fc6fa6-1d54-4bd9-9795-39ff472f151c;debit
sourcing_import;false;2026-06-02 10:18:46.999975+00;1;;9621090e-1bef-4937-b57e-a04287648546;0.090;20;10;{};;;;;17fc6fa6-1d54-4bd9-9795-39ff472f151c;debit
;false;2026-06-08 09:21:17.596527+00;100;;b2e097c1-7af8-40e9-b462-1470ca7657c7;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;b19973d6-bdfc-45c7-8e7e-a64ffe5ae6c1;bonus
generate-product;false;2026-06-09 10:23:35.952389+00;8;;d21cf9be-e78c-4d45-9fba-f4f6ce10711d;0.720;150;15;{};;;;;6cdeb4fd-d936-4241-bf7d-f3843048a703;debit
;false;2026-06-12 08:22:30.567184+00;100;;f7d572c1-5cf0-43dc-a2e6-8dc138304d4c;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;a72ad055-45ae-4a0a-9f90-b268ef6da982;bonus
generate-product;false;2026-06-12 08:25:59.12756+00;8;;9225b9ed-a736-4ede-9255-727d65ce08a2;0.720;150;15;{};;;;;a72ad055-45ae-4a0a-9f90-b268ef6da982;debit
;false;2026-06-13 13:17:16.410076+00;100;;87bcf87c-2e1a-40af-8817-8cc5036101de;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;d9af8911-7c81-4008-99c7-97c6a57a9261;bonus
generate-product;false;2026-06-13 13:23:34.546811+00;8;;e264cec7-e872-477e-9140-1f81b94f242b;0.720;150;15;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
sourcing_search;false;2026-06-13 13:34:22.453945+00;2;;f7c8a961-7ebe-4bbc-96b2-997856b406b4;0.180;50;30;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
;false;2026-06-16 12:30:03.79428+00;100;;d96bba94-fe71-40f6-a6e0-8ce654f5ed55;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;cb7f6293-1aa4-4584-908f-b7316a09114d;bonus
generate-product;false;2026-06-16 12:33:31.530637+00;8;;f9ad1ff9-c949-45fe-87be-3cebd1868d44;0.720;150;15;{};;;;;cb7f6293-1aa4-4584-908f-b7316a09114d;debit
generate-product;false;2026-06-18 09:30:30.184336+00;8;;7075ada3-1389-401d-bf7e-3c719a8dc4e1;0.720;150;15;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
sourcing_search;false;2026-06-18 09:36:55.157913+00;2;;26a256bb-69bf-4452-8d93-a480a91fb58d;0.180;50;30;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
sourcing_search;false;2026-06-18 09:37:44.68736+00;2;;11561e1c-46ab-4521-8c7a-2a7c318b66d1;0.180;50;30;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
;false;2026-06-18 16:32:57.694798+00;100;;ea823eba-f9dd-41ba-a1cb-d5e305293800;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;9a89bacb-121b-4515-9956-201377e9c8eb;bonus
;false;2026-06-19 02:03:20.632175+00;100;;6df55322-3028-41f9-aae5-e058ff7d0c93;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;87bf2cf0-c4d7-458f-9c61-ff126a8d7e2c;bonus
generate_custom_page;false;2026-06-19 05:43:10.934728+00;25;;d3720102-2e59-4fa7-b856-56f01fe64903;2.250;1500;120;{};;;;;309b2d56-2ed2-4705-b762-b80c8774bda6;debit
generate-product-image;false;2026-06-19 06:50:38.755865+00;10;;29b70149-0fdb-49da-b1c8-a53fd4c18741;0.900;200;8;{};;;;;309b2d56-2ed2-4705-b762-b80c8774bda6;debit
generate-product-image;false;2026-06-19 06:50:58.365842+00;10;;9868a7de-0f4a-4df1-a05e-ae872d1fc17e;0.900;200;8;{};;;;;309b2d56-2ed2-4705-b762-b80c8774bda6;debit
generate_custom_page;false;2026-06-19 07:55:36.57407+00;25;;9b5a1198-c47c-4fe5-ab09-6b0575d41e75;2.250;1500;120;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
regenerate_custom_page_section;false;2026-06-19 07:57:25.039559+00;8;;59c8f12c-b97d-4261-87ca-200aa601f4a0;0.720;300;20;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
generate-product;false;2026-06-19 08:28:08.136177+00;8;;6548c09e-8790-4199-802b-055968b92628;0.720;150;15;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
generate-product;false;2026-06-19 08:35:35.91991+00;8;;5c82dbb8-3a0d-4f7d-b550-57ca496bbff5;0.720;150;15;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
generate-product;false;2026-06-19 08:42:58.499027+00;8;;b0464b09-ed99-4487-b19a-39dc9047109a;0.720;150;15;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
generate-product;false;2026-06-19 08:54:30.429533+00;8;;99472ee8-185e-46ef-9837-9087ce5ff9a7;0.720;150;15;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
generate-product;false;2026-06-19 09:03:06.059639+00;8;;11b4b707-34a5-4050-a396-7e4471b1db60;0.720;150;15;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
;false;2026-06-19 09:10:37.794679+00;1000;;1511649b-81f2-4bc9-9401-dca7e94b97f8;99;0;0;"{""pack_id"":""dccef197-97fd-4ed1-93d8-1a982c9fb3b0""}";;order_T3R2hVtdLk6zLG;pay_T3R3Wp6UouiDtg;Recharge — pack;d9af8911-7c81-4008-99c7-97c6a57a9261;credit
generate-product;false;2026-06-19 09:10:52.135175+00;8;;7e976da7-ed1b-4181-a01d-0d4fc4ec1e5e;0.720;150;15;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
;false;2026-06-21 07:05:42.729174+00;100;;2d7e15b3-b3f5-48d9-9a87-8341e7141962;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;ea77b9a3-e14d-4418-8a44-bc5e0f25b9b3;bonus
;false;2026-06-27 14:00:38.475258+00;100;;d9dbb21e-e2c7-48e3-b211-19923870dd50;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;1929a8ef-880e-472e-adbb-743c78218084;bonus
;false;2026-06-29 08:13:27.696114+00;5000;;d4723f47-fe1d-4307-ab8c-65783b449dd9;0;0;0;"{""reason"":""testing"",""source"":""admin_grant""}";;;;Admin grant — testing (Scale plan upgrade);d9af8911-7c81-4008-99c7-97c6a57a9261;grant
generate-product-image;false;2026-06-29 08:38:18.43338+00;10;;6ed2be22-386c-4aaf-8cdf-e7a861e16bab;0.900;200;8;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
generate-product-image;false;2026-06-29 08:38:31.774249+00;10;;aa3b5cfa-4c89-467f-84a8-4ff20fea0dd4;0.900;200;8;{};;;;;d9af8911-7c81-4008-99c7-97c6a57a9261;debit
